Company,Job Title,Location,Post Date,Workplace Type,Job Type,Position Type,Post Date Cleaned
TELUS Digital,Online Data Analyst,"Lakeshore, ON",1 week ago,Remote,,Entry Level,2024-11-02 14:19:19.110205
Amica Senior Lifestyles,"Data Science Specialist, Research and Analytics - 6 Month Contract","Toronto, ON",2 weeks ago,On-site,,Mid-Senior Level,2024-10-26 14:19:19.110210
Stripe,Data Analyst,Canada,Reposted 1 week ago,Remote,Full-time,Mid-Senior Level,2024-11-02 14:19:19.110214
Cohere,Data Annotator - Science,"Toronto, ON",2 weeks ago,Remote,Part-time,,2024-10-26 14:19:19.110218
"Connor, Clark & Lunn Financial Group (CC&L)","Data Analyst, Investment Data Management","Toronto, ON",Reposted 1 week ago,Hybrid,Full-time,Entry Level,2024-11-02 14:19:19.110221
Amazon,ICQA Data Analyst,"Acheson, AB",1 week ago,,Full-time,Mid-Senior Level,2024-11-02 14:19:19.110226
The Home Depot Canada,Senior Insight Analyst,"Toronto, ON",4 days ago,On-site,Full-time,Mid-Senior Level,2024-11-05 14:19:19.110229
Clarivate,Healthcare Research Data Analyst- Medtech Insights,"Toronto, ON",2 weeks ago,Hybrid,Full-time,Entry Level,2024-10-26 14:19:19.110232
"NFP, an Aon company (Canada)",Data Conversion Analyst - Remote,"Orangeville, ON",Reposted 5 days ago,Remote,Full-time,Mid-Senior Level,2024-11-04 14:19:19.110236
Services SFT,Data Analyst,"Saint-Laurent, MB",6 days ago,Hybrid,Full-time,Entry Level,2024-11-03 14:19:19.110240
"Blake, Cassels & Graydon LLP","Analyst, Business Intelligence","Toronto, ON",1 week ago,Hybrid,Full-time,Mid-Senior Level,2024-11-02 14:19:19.110243
Catalent Pharma Solutions,Analytical Analyst,"Strathroy, ON",Reposted 1 week ago,,Full-time,Entry Level,2024-11-02 14:19:19.110247
ICES,Research Analyst,"Toronto, ON",Reposted 2 weeks ago,Hybrid,Full-time,Entry Level,2024-10-26 14:19:19.110250
