Company,Job Title,Location,Post Date,Workplace Type,Job Type,Position Type,Post Date Cleaned
TELUS Digital AI Data Solutions,Online Data Analyst,"Nova Scotia, Canada",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.111893
Western Financial Group,Analyst- Business Intelligence,"Calgary, AB",Reposted 2 months ago,Remote,Full-time,Mid-Senior Level,2024-09-10 14:19:19.111902
Sobeys,"Senior Financial Analyst, Sourcing & Analytics","Stellarton, NS",2 weeks ago,Hybrid,Full-time,Mid-Senior Level,2024-10-26 14:19:19.111920
TextNow,"Staff Data Analyst, Core Experience","Waterloo, ON",Reposted 2 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-26 14:19:19.111929
TELUS Digital AI Data Solutions,Online Data Analyst,"Saskatchewan, Canada",3 weeks ago,Remote,Part-time,Entry Level,2024-10-19 14:19:19.111939
Verafin,Verafin - Data Processing Analyst (PST),"St John’s, NL",1 week ago,Hybrid,Full-time,Associate,2024-11-02 14:19:19.111975
TELUS Digital AI Data Solutions,Online Data Analyst,"Yukon, YT",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.111995
Affirm,"Analyst II, Forecasting Analytics","Hamilton, ON",Reposted 1 week ago,Remote,Full-time,Associate,2024-11-02 14:19:19.112004
Toromont Cat,Web Analytics Specialist,"Vaughan, Ontario, Canada",2 weeks ago,On-site,Full-time,Mid-Senior Level,2024-10-26 14:19:19.112016
TELUS Digital,Online Data Analyst,"Vaudreuil-Soulanges Regional County Municipality, QC",1 week ago,Remote,,Entry Level,2024-11-02 14:19:19.112023
Deloitte,"Senior Associate, Quantitative Market Risk Models - Financial Engineering & Modeling","Toronto, ON",Reposted 2 weeks ago,,Full-time,Mid-Senior Level,2024-10-26 14:19:19.112030
CGI,Cybersecurity Data Analyst,"Halifax, NS",4 days ago,,Full-time,Entry Level,2024-11-05 14:19:19.112039
Agoda,"Data Analyst (Bangkok Based, relocation provided)","Montreal, QC",Reposted 6 days ago,,Full-time,Associate,2024-11-03 14:19:19.112048
TELUS Digital AI Data Solutions,Online Data Analyst,"Brandon, MB",1 week ago,Remote,Part-time,Entry Level,2024-11-02 14:19:19.112061
Outlier,AI Math Analyst,"Kingston, ON",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.112075
"Varsity Tutors, a Nerdy Company",Remote Data Analysis Tutor,"Nova Scotia, Canada",Reposted 5 days ago,Remote,Full-time,Entry Level,2024-11-04 14:19:19.112081
Affirm,"Analyst I, Growth Analytics","Calgary, AB",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.112088
Agoda,"Data Analyst (Bangkok Based, relocation provided)","Vancouver, BC",Reposted 1 week ago,,Full-time,Associate,2024-11-02 14:19:19.112095
Genetec,Analyste de données / Data Analyst - Power BI Developer,"Montreal, QC",1 week ago,Hybrid,Full-time,Mid-Senior Level,2024-11-02 14:19:19.112102
"Parrish & Heimbecker, Limited",Finance Data Analyst,"Hanover, ON",1 month ago,On-site,Full-time,Entry Level,2024-10-10 14:19:19.112111
Accenture,Data Engineering Senior Analyst,"Mississauga, ON",4 days ago,Hybrid,Full-time,Mid-Senior Level,2024-11-05 14:19:19.112119
TELUS Digital AI Data Solutions,Online Data Analyst,"Nova Scotia, Canada",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.112125
TELUS Digital AI Data Solutions,Online Data Analyst,"New Brunswick, Canada",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.112132
TELUS Digital AI Data Solutions,Online Data Analyst,"Northwest Territories, Canada",1 week ago,Remote,Part-time,Entry Level,2024-11-02 14:19:19.112140
eStaffing Inc.,"As An Healthcare Admin, Are You Considering Pivoting Your Career To Data Analyst","Alberta, Canada",4 days ago,Remote,Full-time,Mid-Senior Level,2024-11-05 14:19:19.112150
eStaffing Inc.,Are You An Assembler Looking To Transition Your Career To Become Data Analyst,"Alberta, Canada",13 hours ago,Remote,Full-time,,2024-11-09 01:19:19.112156
The Salvation Army in Canada,"Senior Data Analyst, Labour Relations","Toronto, ON",3 weeks ago,Remote,,Mid-Senior Level,2024-10-19 14:19:19.112181
Cushman & Wakefield,Research Analyst,"Montreal, QC",18 hours ago,On-site,Full-time,Entry Level,2024-11-08 20:19:19.112191
Darkhorse Emergency,Data Analyst / Consultant (Fire / EMS),"Edmonton, AB",3 weeks ago,Remote,Full-time,Entry Level,2024-10-19 14:19:19.112200
Deloitte,"Senior Consultant - S/4 HANA Planning, Budgeting and Analytics, Public Sector","Ottawa, ON",Reposted 3 weeks ago,,Full-time,Mid-Senior Level,2024-10-19 14:19:19.112207
Pratt & Whitney Canada,Stage-Hiver- Science des données et Analytique d’affaires / Internship -Winter 2025-Data Science and Business Analytics,"Longueuil, QC",Reposted 2 weeks ago,On-site,Full-time,Mid-Senior Level,2024-10-26 14:19:19.112213
hims & hers,"Lead Data Analyst, Product","Toronto, ON",Reposted 2 weeks ago,Remote,Full-time,,2024-10-26 14:19:19.112220
Mercury,Senior Data Scientist - Risk Analytics,Canada,Reposted 2 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-26 14:19:19.112226
Affirm,"Analyst I, Growth Analytics","Queens, PE",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.112233
Outlier,AI Math Analyst,"Thunder Bay, ON",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.112240
TELUS Digital AI Data Solutions,Online Data Analyst,"Montreal, QC",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.112243
"Varsity Tutors, a Nerdy Company",Remote Data Analysis Tutor,"Sherbrooke, QC",Reposted 5 days ago,Remote,Full-time,Entry Level,2024-11-04 14:19:19.112247
Sobeys,Retail Insights Data Specialist,"Calgary, AB",1 week ago,Hybrid,Full-time,Mid-Senior Level,2024-11-02 14:19:19.112251
Loblaw Companies Limited,Sr. Data Engineering Analyst,"Brampton, ON",2 weeks ago,,Full-time,Mid-Senior Level,2024-10-26 14:19:19.112254
CIBC,"Senior Analyst, Performance Analytics - Montreal - Bilingual","Montreal, QC",2 weeks ago,,Full-time,Mid-Senior Level,2024-10-26 14:19:19.112258
Pernod Ricard,"Senior Analyst, Market Performance and Business Intelligence","Toronto, ON",Reposted 6 hours ago,Hybrid,Full-time,Mid-Senior Level,2024-11-09 08:19:19.112261
Jane App,Senior Data Analyst,Canada,Reposted 1 week ago,Remote,Full-time,Mid-Senior Level,2024-11-02 14:19:19.112265
VGW,Senior Insight Analyst,"Toronto, ON",Reposted 3 days ago,Hybrid,Full-time,Mid-Senior Level,2024-11-06 14:19:19.112269
The University of British Columbia,Data Analyst,Greater Vancouver Metropolitan Area,Reposted 18 hours ago,On-site,Full-time,,2024-11-08 20:19:19.112272
J&M Group,Business Analyst-Azure data/ datawarehouse,"Toronto, ON",6 days ago,On-site,,Entry Level,2024-11-03 14:19:19.112277
TELUS Digital AI Data Solutions,Online Data Analyst,"Nova Scotia, Canada",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.112280
TELUS Digital AI Data Solutions,Online Data Analyst,"Northwest Territories, Canada",1 week ago,Remote,Part-time,Entry Level,2024-11-02 14:19:19.112284
TELUS Digital AI Data Solutions,Online Data Analyst,"Winnipeg, MB",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.112288
TELUS Digital AI Data Solutions,Online Data Analyst,"Nunavut, Canada",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.112291
DELAN - Chasseurs de Talents en TI,Analyste de Données SAP,"Montreal, QC",1 week ago,Hybrid,Full-time,Associate,2024-11-02 14:19:19.112295
Sun Life,Senior Data Analyst,"Waterloo, ON",Reposted 2 days ago,,Full-time,Mid-Senior Level,2024-11-07 14:19:19.112298
Sobeys,Retail Insights Data Specialist,"Dartmouth, NS",1 week ago,Hybrid,Full-time,,2024-11-02 14:19:19.112302
"Varsity Tutors, a Nerdy Company",Remote Data Analysis Tutor,Greater Trois-Rivieres Metropolitan Area,Reposted 5 days ago,Remote,Full-time,Entry Level,2024-11-04 14:19:19.112306
eStaffing Inc.,Are you a Supply Chain Analyst looking to transition your career into Data Analyst,"Alberta, Canada",3 days ago,Remote,Full-time,,2024-11-06 14:19:19.112309
TELUS Digital,Online Data Analyst Canada (French Language),Canada,Reposted 2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.112312
Affirm,"Analyst II, Forecasting Analytics","London, ON",Reposted 1 week ago,Remote,Full-time,Associate,2024-11-02 14:19:19.112316
Affirm,"Analyst I, Growth Analytics","Victoria, BC",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.112320
ABB,Data Analyst - Maintenance Planning,"St-Jean-Sur-Richelieu, QC",1 week ago,,Full-time,,2024-11-02 14:19:19.112324
Hill & Knowlton,"Social Media Analyst, Data & Intelligence","Vancouver, BC",2 weeks ago,On-site,Full-time,Entry Level,2024-10-26 14:19:19.112328
TalentMinded Inc.,"Senior Analyst, People Analytics & HRIS","Toronto, ON",1 month ago,Hybrid,Full-time,Mid-Senior Level,2024-10-10 14:19:19.112332
TELUS Digital,Online Data Analyst,"Roussillon Regional County Municipality, QC",1 week ago,Remote,,Entry Level,2024-11-02 14:19:19.112349
Movable Ink,"Lead Data Scientist, Personalization Analytics","Toronto, ON",1 week ago,On-site,Full-time,,2024-11-02 14:19:19.112354
hims & hers,"Lead Data Analyst, Product",Canada,Reposted 2 weeks ago,Remote,Full-time,,2024-10-26 14:19:19.112358
"Varsity Tutors, a Nerdy Company",Remote Data Analysis Tutor,"Vancouver, BC",Reposted 5 days ago,Remote,Full-time,Entry Level,2024-11-04 14:19:19.112362
Canadian Armed Forces | Forces armées canadiennes,Signals Intelligence Specialist,"Kingston, NS",Reposted 4 days ago,,Full-time,Entry Level,2024-11-05 14:19:19.112367
Olymel,Analyste données maîtres – Centre d’excellence finance,"Boucherville, QC",Reposted 4 days ago,Hybrid,Full-time,,2024-11-05 14:19:19.112370
National Bank of Canada,Analyste principal des données,"Toronto, ON",21 hours ago,On-site,Full-time,,2024-11-08 17:19:19.112374
Desjardins,"Analyst, Data valorization- EN","Montreal, QC",1 week ago,Hybrid,Full-time,,2024-11-02 14:19:19.112378
"NFP, an Aon company",Data Conversion Analyst - Remote,"Calgary, AB",Reposted 5 days ago,Remote,Full-time,,2024-11-04 14:19:19.112383
TD,Modelling / Forecasting Senior Analyst (Quants) (1679),"Toronto, ON",1 month ago,Hybrid,Full-time,Mid-Senior Level,2024-10-10 14:19:19.112386
Canadian Nuclear Laboratories,Information Analyst,"Chalk River, ON",1 month ago,On-site,Full-time,,2024-10-10 14:19:19.112390
WalterFedy,Senior Data Analyst,"Kitchener, ON",3 days ago,On-site,Full-time,Mid-Senior Level,2024-11-06 14:19:19.112394
Instacart,"Senior Analyst, Media Analytics",Canada,Reposted 1 month ago,Remote,Full-time,Mid-Senior Level,2024-10-10 14:19:19.112397
TELUS Digital AI Data Solutions,Online Data Analyst,"Red Deer, AB",3 weeks ago,Remote,Part-time,Entry Level,2024-10-19 14:19:19.112400
TELUS Digital AI Data Solutions,Online Data Analyst,"Les Laurentides Regional County Municipality, QC",1 week ago,Remote,Part-time,Entry Level,2024-11-02 14:19:19.112404
TELUS Digital AI Data Solutions,Online Data Analyst,"Newfoundland and Labrador, Canada",3 weeks ago,Remote,Part-time,Entry Level,2024-10-19 14:19:19.112408
TELUS Digital AI Data Solutions,Online Data Analyst,"Whitehorse, YT",2 days ago,Remote,Part-time,Entry Level,2024-11-07 14:19:19.112412
ABB,Analyste de données - Planification de maintenance,"St-Jean-Sur-Richelieu, QC",Reposted 2 weeks ago,,Full-time,Entry Level,2024-10-26 14:19:19.112415
Apollo.io,Compensation & Analytics Analyst,Canada,2 weeks ago,Remote,Full-time,,2024-10-26 14:19:19.112420
Affirm,"Analyst I, Growth Analytics","Saskatoon, SK",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.112424
Day & Ross,Data & Analytics Specialist,"Fredericton, NB",6 days ago,Hybrid,Full-time,,2024-11-03 14:19:19.112429
RBC,Senior Data Analyst (GCS),"Toronto, ON",20 hours ago,,Full-time,Mid-Senior Level,2024-11-08 18:19:19.112433
Boralex Inc.,"Senior Analyst, Financial Information and Disclosure","Montreal, QC",1 week ago,On-site,Full-time,Mid-Senior Level,2024-11-02 14:19:19.112438
Syntronic - A Global Design House,Data Analyst - Automotive Engineer,"Waterloo, ON",1 month ago,On-site,Full-time,,2024-10-10 14:19:19.112442
Intact,Data Governance Advisor specialist,"Toronto, ON",Reposted 4 days ago,Hybrid,Full-time,,2024-11-05 14:19:19.112445
SECURE ENERGY,Business Intelligence Analyst,"Calgary, AB",Reposted 1 week ago,,Full-time,,2024-11-02 14:19:19.112450
Desjardins,"Data Scientist, Data valorization- EN","Montreal, QC",6 days ago,Hybrid,Full-time,Mid-Senior Level,2024-11-03 14:19:19.112454
Ontario Securities Commission,Senior Information Analyst,"Toronto, ON",2 weeks ago,Hybrid,Full-time,Associate,2024-10-26 14:19:19.112458
Affirm,"Analyst II, Forecasting Analytics","Ottawa, ON",Reposted 1 week ago,Remote,Full-time,Associate,2024-11-02 14:19:19.112461
Outlier,AI Math Analyst,"Chatham-Kent, ON",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.112465
Alludo,BI Analyst,Greater Vancouver Metropolitan Area,3 months ago,Remote,Full-time,,2024-08-11 14:19:19.112468
CAAT Pension Plan,Senior Business Intelligence (BI) Specialist,"Toronto, ON",1 week ago,Hybrid,Full-time,Mid-Senior Level,2024-11-02 14:19:19.112472
National Bank of Canada,Chief Data Analyst Campaign Development,"Montreal, QC",3 weeks ago,Hybrid,Full-time,,2024-10-19 14:19:19.112476
IPEX by Aliaxis,"Senior Data Analyst, People Analytics","Oakville, ON",2 weeks ago,On-site,Full-time,Mid-Senior Level,2024-10-26 14:19:19.112480
Outlier,AI Math Analyst,"Saskatoon, SK",2 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-26 14:19:19.112485
Outlier,AI Math Analyst,"Coquitlam, BC",3 days ago,Remote,Full-time,,2024-11-06 14:19:19.112489
Outlier,AI Math Analyst,"Chilliwack, BC",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.112492
Outlier,AI Math Analyst,"Abbotsford, BC",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.112496
Magna International,"Sr. Workday Functional Analyst, HR Systems","Aurora, ON",Reposted 6 hours ago,On-site,Full-time,,2024-11-09 08:19:19.112499
Outlier,AI Math Analyst,"Brossard, QC",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.112503
Éco Entreprises Québec,Analyste de données,"Montreal, QC",6 days ago,Hybrid,Full-time,Mid-Senior Level,2024-11-03 14:19:19.112507
RONA,"Senior Analyst in Business Intelligence WEB - (Remote, Boucherville QC) - Fluent in French","Boucherville, QC",Reposted 7 hours ago,Remote,Full-time,Mid-Senior Level,2024-11-09 07:19:19.112510
Outlier,AI Math Analyst,"Gatineau, QC",3 days ago,Remote,Full-time,,2024-11-06 14:19:19.112514
AltaGas Ltd.,"AltaGas - Senior Analyst, FP&A Technology and Data","Calgary, AB",Reposted 2 weeks ago,On-site,Full-time,Mid-Senior Level,2024-10-26 14:19:19.112517
Metro Inc.,Analyste données immobilières (fonction administration),"Terrebonne, QC",Reposted 3 weeks ago,Hybrid,Full-time,,2024-10-19 14:19:19.112521
Outlier,AI Math Analyst,"Medicine Hat, AB",3 days ago,Remote,Full-time,,2024-11-06 14:19:19.112525
Promutuel Assurance,Analyste de données et divulgations RSE,"Longueuil, QC",Reposted 5 days ago,Hybrid,Full-time,Entry Level,2024-11-04 14:19:19.112528
"Connor, Clark & Lunn Investment Management (CC&L)",Senior Quantitative Equity Analyst – Alternative Data,"Vancouver, BC",Reposted 6 days ago,Hybrid,,Mid-Senior Level,2024-11-03 14:19:19.112532
Provincial Health Services Authority,"Data Analyst, Clinical Division, Provincial Lab Data Analytics - Provincial Laboratory Medicine Services (PLMS)","Vancouver, BC",1 week ago,Remote,Part-time,,2024-11-02 14:19:19.112535
Tolko Industries,Senior Business Intelligence Specialist,"Vernon, BC",5 days ago,On-site,Full-time,Mid-Senior Level,2024-11-04 14:19:19.112540
KYYBA Inc,Business Intelligence Analyst IV,"New Brunswick, Canada",1 month ago,On-site,Full-time,,2024-10-10 14:19:19.112544
Train à grande fréquence - High Frequency Rail,Data Analyst (Temporary position of 15 months),"Montreal, QC",Reposted 2 weeks ago,Hybrid,,,2024-10-26 14:19:19.112548
Éco Entreprises Québec,"Analyste, intelligence d’affaires","Montreal, QC",5 days ago,Hybrid,Full-time,,2024-11-04 14:19:19.112551
KABS Laboratories Inc.,Analyste - Calculs et entrée de données / Analyst-Calculation and data entry,"Saint-Hubert-de-Rivière-du-Loup, QC",2 months ago,On-site,Full-time,Entry Level,2024-09-10 14:19:19.112555
Provincial Health Services Authority,"Data Analyst Health Surveillance, Surveillance Infra & Reporting - BC Centre for Disease Control","Vancouver, BC",3 days ago,Hybrid,Full-time,,2024-11-06 14:19:19.112558
The Venus Consultancy Ltd,Operational Analyst - Data Governance - Vancouver Remote,"Vancouver, BC",3 months ago,On-site,Full-time,Associate,2024-08-11 14:19:19.112562
Epic Games,Principal Data Scientist,Greater Montreal Metropolitan Area,Reposted 7 hours ago,On-site,Full-time,,2024-11-09 07:19:19.112566
Desjardins,Analyste en valorisation de données - FR,"Montreal, QC",18 hours ago,Hybrid,Full-time,Mid-Senior Level,2024-11-08 20:19:19.112570
Altea Healthcare,Senior Data Analyst,"Burnaby, BC",1 week ago,On-site,Full-time,Associate,2024-11-02 14:19:19.112574
Keyloop,Junior Data Analyst,Canada,1 week ago,Remote,Full-time,Associate,2024-11-02 14:19:19.112578
TELUS Digital AI Data Solutions,Online Data Analyst,"Dieppe, NB",2 days ago,Remote,Part-time,Entry Level,2024-11-07 14:19:19.112582
TELUS Digital,Online Data Analyst,"Ottawa, ON",1 week ago,Remote,,Entry Level,2024-11-02 14:19:19.112585
Astek,Data Analyst,"Toronto, ON",1 week ago,Hybrid,,Associate,2024-11-02 14:19:19.112589
TELUS Digital AI Data Solutions,Online Data Analyst,"Spruce Grove, AB",2 days ago,Remote,Part-time,Entry Level,2024-11-07 14:19:19.112592
TELUS Digital,Online Data Analyst,"Lakeshore, ON",1 week ago,Remote,,Entry Level,2024-11-02 14:19:19.112596
TELUS Digital AI Data Solutions,Online Data Analyst,"Ontario, Canada",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.112600
Affirm,"Analyst I, Growth Analytics","Windsor, ON",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.112604
Affirm,"Analyst I, Growth Analytics","Ottawa, ON",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.112607
TELUS Digital,Online Data Analyst,"Welland, ON",1 week ago,Remote,,Entry Level,2024-11-02 14:19:19.112612
TELUS Digital AI Data Solutions,Online Data Analyst,"Ottawa, ON",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.112615
TELUS Digital,Online Data Analyst,"Russell, ON",1 week ago,Remote,,Entry Level,2024-11-02 14:19:19.112619
Affirm,"Analyst I, Growth Analytics","London, ON",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.112622
The Home Depot Canada,Senior Insight Analyst,"Toronto, ON",4 days ago,On-site,Full-time,Mid-Senior Level,2024-11-05 14:19:19.112626
AstraZeneca,Senior Statistician,"Mississauga, ON",Reposted 4 days ago,,Full-time,Associate,2024-11-05 14:19:19.112630
Campus4Tech,Are You A Recruiter Looking To Transition Your Career To Become Data Analyst,Canada,6 days ago,Remote,Full-time,Associate,2024-11-03 14:19:19.112634
Aston Carter,Franchise Data Analyst,"Toronto, ON",3 hours ago,Hybrid,,Entry Level,2024-11-09 11:19:19.112637
Staples Canada,Business Services Analyst - Business Insights & Intelligence (Contractuel),"Richmond Hill, ON",2 months ago,Hybrid,Full-time,Mid-Senior Level,2024-09-10 14:19:19.112644
Sobeys,Retail Insights Data Specialist,"Stellarton, NS",1 week ago,Hybrid,Full-time,Mid-Senior Level,2024-11-02 14:19:19.112648
Campus4Tech,Are You A Risk Manager Looking To Transition Your Career To Become Data Analyst,Canada,3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.112652
Outlier,AI Math Analyst,"Newmarket, ON",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.112656
Campus4Tech,Are You A Maintenance Technician Looking To Transition Your Career To Become Data Analyst,Canada,5 days ago,Remote,Full-time,Associate,2024-11-04 14:19:19.112661
Sobeys,"Analyst Business Intelligence, Contract","Stellarton, NS",4 days ago,Hybrid,,Entry Level,2024-11-05 14:19:19.112664
Outlier,AI Math Analyst,"Vaughan, ON",2 weeks ago,Remote,Full-time,,2024-10-26 14:19:19.112668
Campus4Tech,Are You A Quality Control Inspector Looking To Transition Your Career To Become Data Analyst,Canada,3 days ago,Remote,Full-time,Associate,2024-11-06 14:19:19.112672
TELUS Digital AI Data Solutions,Online Data Analyst,"Ontario, Canada",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.112675
TELUS Digital AI Data Solutions,Online Data Analyst,"Winnipeg, MB",2 days ago,Remote,Part-time,Entry Level,2024-11-07 14:19:19.112679
TELUS Digital,Online Data Analyst,"Clarence-Rockland, ON",1 week ago,Remote,,Entry Level,2024-11-02 14:19:19.112682
TELUS Digital AI Data Solutions,Online Data Analyst,Canada,2 days ago,Remote,Part-time,Entry Level,2024-11-07 14:19:19.112686
TELUS Digital AI Data Solutions,Online Data Analyst,"Corner Brook, NL",2 days ago,Remote,Part-time,Entry Level,2024-11-07 14:19:19.112690
TELUS Digital,Online Data Analyst,"Rouyn-Noranda, QC",2 weeks ago,Remote,,Entry Level,2024-10-26 14:19:19.112693
Sobeys,"Analyst Business Intelligence, Contract","Calgary, AB",4 days ago,Hybrid,,Entry Level,2024-11-05 14:19:19.112698
Outlier,AI Math Analyst,"Caledon, ON",2 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-26 14:19:19.112702
Outlier,Work from Home - AI Math Analyst,"Clarington, ON",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.112705
TELUS Digital,Online Data Analyst,"Saint-Eustache, QC",2 weeks ago,Remote,,Entry Level,2024-10-26 14:19:19.112709
Outlier,AI Math Analyst,"Burlington, ON",2 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-26 14:19:19.112720
TELUS Digital,Online Data Analyst,"Terrebonne, QC",2 weeks ago,Remote,,Entry Level,2024-10-26 14:19:19.112734
Outlier,AI Math Analyst,"Richmond Hill, ON",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.112742
Affirm,"Analyst I, Growth Analytics","Edmonton, AB",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.112749
ROCKWOOL Group,Marketing Intelligence Analyst,"Milton, ON",2 months ago,,Full-time,Mid-Senior Level,2024-09-10 14:19:19.112758
AstraZeneca,Senior Statistician,"Mississauga, ON",21 hours ago,,Full-time,Associate,2024-11-08 17:19:19.112765
Affirm,"Analyst I, Growth Analytics","Winnipeg, MB",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.112774
"Varsity Tutors, a Nerdy Company",Remote Econometrics Tutor,"Sherbrooke, QC",Reposted 5 days ago,Remote,Full-time,Entry Level,2024-11-04 14:19:19.112783
Affirm,"Analyst II, Forecasting Analytics","Toronto, ON",1 week ago,Remote,Full-time,Associate,2024-11-02 14:19:19.112791
Northeastern University,Part-Time Lecturer - Analytics (Toronto),"Toronto, ON",Reposted 3 months ago,On-site,Part-time,Entry Level,2024-08-11 14:19:19.112799
Global Pharma Tek,Data Analytical Specialist - Senior,"Toronto, ON",2 months ago,On-site,,Entry Level,2024-09-10 14:19:19.112807
"Varsity Tutors, a Nerdy Company",Remote Data Analysis Tutor,"Kitchener, ON",Reposted 5 days ago,Remote,Full-time,Entry Level,2024-11-04 14:19:19.112815
Affirm,"Analyst II, Forecasting Analytics","Windsor, ON",Reposted 1 week ago,Remote,Full-time,Associate,2024-11-02 14:19:19.112823
Zendesk,"Senior Analyst, Enterprise Analytics","Toronto, ON",Reposted 2 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-26 14:19:19.112832
University of Notre Dame,Postdoctoral Research Fellow Position: Health Equity Data Lab,"Notre Dame, NB",Reposted 1 week ago,On-site,Full-time,,2024-11-02 14:19:19.112840
Outlier,AI Math Analyst,"Chilliwack, BC",3 days ago,Remote,Full-time,,2024-11-06 14:19:19.112849
Outlier,AI Math Analyst,"Abbotsford, BC",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.112856
Magna International,"Sr. Workday Functional Analyst, HR Systems","Aurora, ON",Reposted 6 hours ago,On-site,Full-time,Mid-Senior Level,2024-11-09 08:19:19.112863
Outlier,AI Math Analyst,"Brossard, QC",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.112872
Éco Entreprises Québec,Analyste de données,"Montreal, QC",6 days ago,Hybrid,Full-time,,2024-11-03 14:19:19.112880
RONA,"Senior Analyst in Business Intelligence WEB - (Remote, Boucherville QC) - Fluent in French","Boucherville, QC",Reposted 7 hours ago,Remote,Full-time,Mid-Senior Level,2024-11-09 07:19:19.112887
Outlier,AI Math Analyst,"Gatineau, QC",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.112896
AltaGas Ltd.,"AltaGas - Senior Analyst, FP&A Technology and Data","Calgary, AB",Reposted 2 weeks ago,On-site,Full-time,Mid-Senior Level,2024-10-26 14:19:19.112904
Metro Inc.,Analyste données immobilières (fonction administration),"Terrebonne, QC",Reposted 3 weeks ago,Hybrid,Full-time,,2024-10-19 14:19:19.112913
Outlier,AI Math Analyst,"Medicine Hat, AB",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.112922
Promutuel Assurance,Analyste de données et divulgations RSE,"Longueuil, QC",Reposted 5 days ago,Hybrid,Full-time,Entry Level,2024-11-04 14:19:19.112929
"Connor, Clark & Lunn Investment Management (CC&L)",Senior Quantitative Equity Analyst – Alternative Data,"Vancouver, BC",Reposted 6 days ago,Hybrid,,,2024-11-03 14:19:19.112937
Provincial Health Services Authority,"Data Analyst, Clinical Division, Provincial Lab Data Analytics - Provincial Laboratory Medicine Services (PLMS)","Vancouver, BC",1 week ago,Remote,Part-time,,2024-11-02 14:19:19.112946
Tolko Industries,Senior Business Intelligence Specialist,"Vernon, BC",5 days ago,On-site,Full-time,Mid-Senior Level,2024-11-04 14:19:19.112955
KYYBA Inc,Business Intelligence Analyst IV,"New Brunswick, Canada",1 month ago,On-site,Full-time,Mid-Senior Level,2024-10-10 14:19:19.112962
Train à grande fréquence - High Frequency Rail,Data Analyst (Temporary position of 15 months),"Montreal, QC",Reposted 2 weeks ago,Hybrid,,,2024-10-26 14:19:19.112970
Éco Entreprises Québec,"Analyste, intelligence d’affaires","Montreal, QC",5 days ago,Hybrid,Full-time,,2024-11-04 14:19:19.112979
KABS Laboratories Inc.,Analyste - Calculs et entrée de données / Analyst-Calculation and data entry,"Saint-Hubert-de-Rivière-du-Loup, QC",2 months ago,On-site,Full-time,Entry Level,2024-09-10 14:19:19.112987
Provincial Health Services Authority,"Data Analyst Health Surveillance, Surveillance Infra & Reporting - BC Centre for Disease Control","Vancouver, BC",3 days ago,Hybrid,Full-time,Mid-Senior Level,2024-11-06 14:19:19.112995
